file_path,label
processed_data\dogs\854.jpg,1
processed_data\dogs\710.jpg,1
processed_data\dogs\2882.jpg,1
processed_data\other\2161.jpg,2
processed_data\cats\1736.jpg,0
processed_data\cats\2477.jpg,0
processed_data\dogs\2996.jpg,1
processed_data\other\2907.jpg,2
processed_data\cats\3366.jpg,0
processed_data\cats\1094.jpg,0
processed_data\other\1295.jpg,2
processed_data\cats\1328.jpg,0
processed_data\dogs\4414.jpg,1
processed_data\cats\1372.jpg,0
processed_data\cats\3176.jpg,0
processed_data\cats\1654.jpg,0
processed_data\dogs\2685.jpg,1
processed_data\dogs\993.jpg,1
processed_data\dogs\4241.jpg,1
processed_data\cats\4200.jpg,0
processed_data\dogs\1931.jpg,1
processed_data\dogs\855.jpg,1
processed_data\dogs\2085.jpg,1
processed_data\cats\3147.jpg,0
processed_data\dogs\1503.jpg,1
processed_data\cats\4088.jpg,0
processed_data\other\1446.jpg,2
processed_data\dogs\4094.jpg,1
processed_data\dogs\2572.jpg,1
processed_data\other\784.jpg,2
processed_data\cats\1457.jpg,0
processed_data\cats\1628.jpg,0
processed_data\cats\4621.jpg,0
processed_data\other\202.jpg,2
processed_data\cats\3363.jpg,0
processed_data\cats\431.jpg,0
processed_data\cats\2147.jpg,0
processed_data\dogs\1202.jpg,1
processed_data\cats\2825.jpg,0
processed_data\dogs\210.jpg,1
processed_data\cats\1032.jpg,0
processed_data\cats\270.jpg,0
processed_data\dogs\2990.jpg,1
processed_data\cats\806.jpg,0
processed_data\cats\4078.jpg,0
processed_data\dogs\3457.jpg,1
processed_data\dogs\777.jpg,1
processed_data\dogs\624.jpg,1
processed_data\cats\3680.jpg,0
processed_data\dogs\666.jpg,1
processed_data\other\3755.jpg,2
processed_data\cats\2170.jpg,0
processed_data\other\2360.jpg,2
processed_data\dogs\3438.jpg,1
processed_data\dogs\3222.jpg,1
processed_data\cats\1309.jpg,0
processed_data\dogs\3137.jpg,1
processed_data\dogs\4398.jpg,1
processed_data\other\1617.jpg,2
processed_data\cats\1424.jpg,0
processed_data\cats\4959.jpg,0
processed_data\dogs\4553.jpg,1
processed_data\dogs\1958.jpg,1
processed_data\other\1545.jpg,2
processed_data\dogs\817.jpg,1
processed_data\cats\1288.jpg,0
processed_data\other\4774.jpg,2
processed_data\other\1453.jpg,2
processed_data\dogs\3588.jpg,1
processed_data\other\2964.jpg,2
processed_data\cats\3477.jpg,0
processed_data\dogs\767.jpg,1
processed_data\other\2351.jpg,2
processed_data\other\3335.jpg,2
processed_data\other\404.jpg,2
processed_data\cats\1872.jpg,0
processed_data\cats\3767.jpg,0
processed_data\dogs\2528.jpg,1
processed_data\other\3043.jpg,2
processed_data\other\355.jpg,2
processed_data\other\3290.jpg,2
processed_data\dogs\4263.jpg,1
processed_data\dogs\1149.jpg,1
processed_data\dogs\2612.jpg,1
processed_data\cats\2079.jpg,0
processed_data\cats\3452.jpg,0
processed_data\dogs\1992.jpg,1
processed_data\dogs\3942.jpg,1
processed_data\other\1226.jpg,2
processed_data\cats\103.jpg,0
processed_data\dogs\1927.jpg,1
processed_data\cats\775.jpg,0
processed_data\dogs\2566.jpg,1
processed_data\dogs\2454.jpg,1
processed_data\dogs\274.jpg,1
processed_data\dogs\1705.jpg,1
processed_data\other\2172.jpg,2
processed_data\dogs\3603.jpg,1
processed_data\cats\639.jpg,0
processed_data\other\4158.jpg,2
processed_data\cats\4433.jpg,0
processed_data\cats\378.jpg,0
processed_data\other\3007.jpg,2
